Name,Risk
   TEDDY BEAR NURSERY SCHOOLS ,Risk 1 (High)
   WINDSOR PARK NURSING AND LIVING   ,Risk 1 (High)
   GEORGE ARMSTRONG PUBLIC SCHOOL  ,Risk 1 (High)
   ST. RICHARD SCHOOL  ,Risk 1 (High)
  HOT WOKS COOL SUSHI   ,Risk 1 (High)
   ST MATTHIAS  ,Risk 1 (High)
   Eurest Dining Services @ Safer Foundation   ,Risk 1 (High)
   RESTAURANT & POZOLERIA SAN JUAN ,Risk 1 (High)
 ASADO COFFEE ROASTERS ,Risk 2 (Medium)
 EXCHEQUER RESTAURANT  ,Risk 1 (High)
   MARGIE'S BEEF  ,Risk 1 (High)
 LIZZIE MC NEILLS ,Risk 1 (High)
  WALGREENS #1332  ,Risk 3 (Low)
   ILLINOIS INSTITUTE OF ART INC   ,Risk 1 (High)
   TACO EL JALICIENSE   ,Risk 1 (High)
   HERITAGE WOODS OF CHICAGO ,Risk 1 (High)
 RITE PRICE FOOD   ,Risk 2 (Medium)
 PALM RESTAURANT   ,Risk 1 (High)
 RITE PRICE FOOD MART   ,Risk 2 (Medium)
 CAPI'S ITALIAN KITCHEN  ,Risk 1 (High)
  GIORDANO'S NAVY PIER  ,Risk 1 (High)
  WHITTIER ELEMENTARY  ,Risk 1 (High)
 BURGER KING #1308   ,Risk 2 (Medium)
  BOSTON'S BAR B-Q   ,Risk 1 (High)
  GIORDANO'S NAVY PIER   ,Risk 1 (High)
  GEORGIA'S FOOD DEPOT   ,Risk 1 (High)
   EXCELSIOR GARDEN   ,Risk 1 (High)
"  EPIC BURGER, INC  ",Risk 1 (High)
  JUICERX ,Risk 3 (Low)
  Cameron Elementary  ,Risk 1 (High)
  Dollar Tree #4143   ,Risk 3 (Low)
   FOSTER GROCERY PLUS   ,Risk 3 (Low)
  SIZZLIN SKILLETS ,Risk 1 (High)
 GREAT BUFFET ,Risk 1 (High)
  HUSKY HOG BBQ  ,Risk 1 (High)
  LA SERENA  ,Risk 1 (High)
  C & P FRIED RICE 2  ,Risk 1 (High)
 SIZZLIN SKILLETS ,Risk 1 (High)
  FOSTER GROCERY & DOLLAR PLUS   ,Risk 3 (Low)
 KIDDIE KARE PRE SCHOOL  ,Risk 1 (High)
  Assoc. House Charter School  ,Risk 2 (Medium)
  LAS 3 ISLAS DE NAYARIT ,Risk 1 (High)
  BISTRO MARGOT  ,Risk 1 (High)
   WING STOP # 894 ,Risk 2 (Medium)
   BOW TRUSS COFFEE  ,Risk 2 (Medium)
 LIANG'S KITCHEN   ,Risk 1 (High)
  JACK'S FORK IN THE ROAD ,Risk 2 (Medium)
  WHOLE FOODS MARKET   ,Risk 1 (High)
 INNOVATIONS HIGH SCHOOL  ,Risk 2 (Medium)
  KIDDY KARE PRE SCHOOL INC   ,Risk 1 (High)
  ST ANGELA SCHOOL  ,Risk 1 (High)
 SALERNO'S   ,Risk 1 (High)
  ST. MATHIAS SCHOOL  ,Risk 3 (Low)
 JOHN SCHALLER   ,Risk 1 (High)
  TUTTO ITALIANO  ,Risk 1 (High)
 U OF C (CS) DONOGHUE ,Risk 1 (High)
 HONG KONG EXPRESS   ,Risk 1 (High)
  CITY HARVEST CAFE  ,Risk 1 (High)
 EMMIT'S ON CLYBOURN   ,Risk 1 (High)
  MARISCO EL VENENO #2 CORP. ,Risk 1 (High)
   SAVE WAY WAREHOUSE MARKET INC.  ,Risk 2 (Medium)
" ITALIAN FIESTA PIZZERIA, INC   ",Risk 1 (High)
   CICS-WASHINGTON PARK  ,Risk 1 (High)
  LEVY RESTAURANTS @ WRIGLEY FIELD ,Risk 1 (High)
 SOUTH TOWN SUB   ,Risk 2 (Medium)
  ARTISAN BREAD SHOPPE CO. ,Risk 2 (Medium)
  PALETERIA MEXICO LINDO ,Risk 2 (Medium)
 GERMAN AMERICAN NAT'L CONGRESS   ,Risk 1 (High)
 FRUVE XPRESS JUICERY   ,Risk 1 (High)
  KATHY DE'S ,Risk 1 (High)
 LEVY RESTAURANTS @ WRIGLEY FIELD   ,Risk 1 (High)
  63RD QUICK STOP  ,Risk 1 (High)
  LEVY RESTAURANTS AT WRIGLEY FIELD   ,Risk 1 (High)
  OCTAVIO PAZ CHARTER SCHOOL ,Risk 1 (High)
   SHIELDS ELEMENTARY MAIN ,Risk 1 (High)
 MAXINES 1 LLC  ,Risk 1 (High)
 Levy Restaurants at Wrigley Field  ,Risk 2 (Medium)
   DECLAN'S IRISH PUB ,Risk 1 (High)
"  PROGRESSIVE HOUSING, INC.  ",Risk 1 (High)
 WAFFLES   ,Risk 1 (High)
 RAINBOW BEACH CARE CENTER   ,Risk 1 (High)
 St. Bartholomew  ,Risk 1 (High)
 BRAINY BOULEVARD DAYCARE  ,Risk 1 (High)
  OMBUDSMAN ,Risk 3 (Low)
 CICS-WASHINGTON PARK  ,Risk 1 (High)
   Shields ANNEX  ,Risk 1 (High)
 CAPTAIN MORGAN'S   ,Risk 2 (Medium)
 U OF C WOODSON SOUTH   ,Risk 1 (High)
 LOUISA MAY ALCOTT  ,Risk 1 (High)
   PARAMOUNT ROOM ,Risk 1 (High)
 Latino Youth Center  (H/S)   ,Risk 2 (Medium)
  KRISPY'S SEAFOOD & CHICKEN 1   ,Risk 2 (Medium)
   JONA' ,Risk 1 (High)
   Levy Restaurants at Wrigley Field  ,Risk 1 (High)
  PRAIRIELAND MONTESSORI   ,Risk 1 (High)
  SHARKS FISH & CHICKEN ,Risk 2 (Medium)
  BUFFALO JOE'S ON HOWARD   ,Risk 1 (High)
   JERKY JERK  ,Risk 1 (High)
 TAMALLI SPACE CHARROS LLC  ,Risk 3 (Low)
 NORTHSIDE CAFE INC  ,Risk 1 (High)
   DOLLAR GENERAL STORE # 15873 ,Risk 3 (Low)
   RAVENSWOOD Q   ,Risk 1 (High)
  HALSTED STREET DELI   ,Risk 1 (High)
 MARGIE'S CANDIES   ,Risk 1 (High)
 THE POINT ,Risk 1 (High)
 WESTERN CAFE  ,Risk 1 (High)
   KUNG FU TEA   ,Risk 2 (Medium)
  MEDO FOODS  ,Risk 2 (Medium)
 HUMBERTO'S PIZZERIA   ,Risk 1 (High)
"  QUEST FOOD MANAGEMENT SERVICE,INC  ",Risk 1 (High)
"   HO FAT LEE CHINESE KITCHEN, I NC. ",Risk 1 (High)
"  THE ATRIUM HLTH CARE CTRS, INC   ",Risk 1 (High)
   YEE HEUNG SEAFOOD HOUSE ,Risk 1 (High)
"   JOE'S SEAFOOD, PRIME STEAK ",Risk 1 (High)
 R.J. SANDWICH FISH & CHICKEN ,Risk 2 (Medium)
 SUBWAY   ,Risk 1 (High)
   BUNDOO KHAN   ,Risk 1 (High)
  BEGGAR'S PIZZA  ,Risk 2 (Medium)
 TWO HEARTED QUEEN ,Risk 2 (Medium)
   LAKEVIEW KITCHEN & MARKET  ,Risk 1 (High)
 THE NEW LOOK  ,Risk 1 (High)
   ST. MARY OF THE ANGELS  ,Risk 2 (Medium)
  MOON PALACE  ,Risk 1 (High)
   MILTON BRUNSON ELEMENTARY  ,Risk 1 (High)
 PHO LILY   ,Risk 1 (High)
  Whistler  ,Risk 1 (High)
 LAPAZ RESTAURANT  ,Risk 1 (High)
   CHARTWELLS THOMPSON  ,Risk 2 (Medium)
 McNair  ,Risk 1 (High)
  ZAYTUNE MEDITERRANEAN GRILL   ,Risk 2 (Medium)
   WOLFGANG PUCK CATERING & EVENTS AT SPERTUS INSTITU  ,Risk 1 (High)
 3JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT  ,Risk 3 (Low)
 HAROLDS CHICKEN #2 ,Risk 2 (Medium)
  JIMMY G'S  ,Risk 1 (High)
   SHARKS FISH & CHICKEN ,Risk 2 (Medium)
   RICOBENE'S ON 26TH STREET ,Risk 1 (High)
  THOMAS COFFEE SHOP ,Risk 1 (High)
 WOODIE'S FLAT   ,Risk 1 (High)
 EL ASADOR EXPRESS ,Risk 1 (High)
  LITTLE CAESAR PIZZA #1648  ,Risk 2 (Medium)
  MCDONALD'S  ,Risk 2 (Medium)
 BRASSERIE BY LM   ,Risk 1 (High)
  TRATTORIA PIZZERIA ROMA  ,Risk 1 (High)
 LA PLACITA ,Risk 1 (High)
   TRATTORIA PIZZERIA ROMA  ,Risk 1 (High)
   St. Viator ,Risk 1 (High)
 TONI'S PIZZA AND PASTA ,Risk 1 (High)
   DA PIZZA DUDE ,Risk 2 (Medium)
   HOLY ANGELS SCHOOL  ,Risk 1 (High)
  CHICAGO HOPE ACADEMY ,Risk 1 (High)
   AKIBA-SCHECHTER JEWISH DAY SCHOOL   ,Risk 1 (High)
  ST MARGARET ELEMENTARY ,Risk 1 (High)
  EPIPHANY RESTAURANT   ,Risk 1 (High)
  GUAPO TACO  ,Risk 1 (High)
 THE TALBOTT HOTEL  ,Risk 3 (Low)
   THE TALBOTT HOTEL  ,Risk 1 (High)
 DELUXE DINER  ,Risk 1 (High)
   EXCELSIOR GARDEN   ,Risk 1 (High)
  SUBWAY  ,Risk 1 (High)
  NAF NAF GRILL  ,Risk 1 (High)
 CILANTRO  THAI  KITCHEN   ,Risk 1 (High)
  MARGIE'S BEEF   ,Risk 1 (High)
 COMFORT SUITES  ,Risk 2 (Medium)
   THE RADLER   ,Risk 1 (High)
 LITTLE MARKET BRASSIERE ,Risk 1 (High)
   MIXTECO GRILL ,Risk 1 (High)
   Erie House ,Risk 2 (Medium)
   TERESA RESTAURANT /BANQUET HAL   ,Risk 1 (High)
  RED SNAPPER FISH & CHICKEN   ,Risk 2 (Medium)
  CHINESE KITCHEN   ,Risk 1 (High)
  DOLLAR TREE STORES # 798  ,Risk 3 (Low)
 BURGER BULL   ,Risk 2 (Medium)
  NANDO'S PERI PERI   ,Risk 1 (High)
  BILLY GOAT TAVERN & GRILL ,Risk 1 (High)
  CERMAK LIVE POULTRY   ,Risk 2 (Medium)
 BIRRIERIA Y TAQUERIA LOPEZ ,Risk 1 (High)
  RESTAURANT  EL ASADOR II   ,Risk 1 (High)
  A V ANTHONY'S   ,Risk 1 (High)
  MUNICIPAL BAR & DINING COMPANY ,Risk 1 (High)
 CHIPOTLE MEXICAN GRILL   ,Risk 1 (High)
   FERMIN'S POULTRY ,Risk 2 (Medium)
  DUKES ,Risk 1 (High)
   MR QUILES MEXICAN FOOD #2 ,Risk 2 (Medium)
  KULAN RESTAURANT   ,Risk 1 (High)
 THE MEATLOAF BAKERY  ,Risk 3 (Low)
   PHILLIP'S ICE CREAM   ,Risk 3 (Low)
   CHALMERS ELEMENTARY ,Risk 1 (High)
  GODZILLA SUSHI ,Risk 1 (High)
   COSI ,Risk 1 (High)
   ROCK BOTTOM RESTAURANT & BREWERY - RB GRILLE   ,Risk 1 (High)
 CHICAGO WINGS & GYROS  ,Risk 1 (High)
   TAQUERIA VARGAS   ,Risk 1 (High)
  NANDO'S PERI PERI   ,Risk 1 (High)
"   TAQUERIA LA HACIENDA, INC.  ",Risk 1 (High)
 CHOP SUEY HUANG ,Risk 1 (High)
   THE MEATLOAF BAKERY  ,Risk 1 (High)
  CONTE DI SAVOIA INC ,Risk 1 (High)
  EVERETT ELEMENTARY   ,Risk 1 (High)
 EPIC   ,Risk 1 (High)
 EL CHILE RESTAURANT & PANCAKE HOUSE ,Risk 1 (High)
  North-Grand H.S. ,Risk 1 (High)
  John Garvy Elementary School  ,Risk 1 (High)
  McDade Classical ,Risk 1 (High)
  BURGER KING #244   ,Risk 2 (Medium)
  EL PATIO RESTAURANT   ,Risk 1 (High)
 Beard Elementary School ,Risk 1 (High)
   JAMAICAN TROPICAL CUISINE ,Risk 1 (High)
   THAI PASTRY RESTAURANT ,Risk 1 (High)
   J & J FISH ,Risk 2 (Medium)
 RUTH AND PHILS GOURMET ICE CREAM ,Risk 1 (High)
   ST. PROCOPIUS SCHOOL  ,Risk 2 (Medium)
   7- ELEVEN   ,Risk 2 (Medium)
  BETTY SHABAZZ INTERNATIONAL CHARTER SCHOOL   ,Risk 1 (High)
 BIRRIERIA LOPEZ #1  ,Risk 1 (High)
  SNAP KITCHEN  ,Risk 3 (Low)
  FRONTERA GRILL/TOPOLOBAMBO ,Risk 1 (High)
 SHAKE SHACK  ,Risk 2 (Medium)
  SABRI NIHARI   ,Risk 1 (High)
  COUNCIL OAK MONTESSORI   ,Risk 2 (Medium)
 HENRY O. TANNER ELEMENTARY ,Risk 1 (High)
  TOSCANA ,Risk 1 (High)
 CELESTE ,Risk 1 (High)
  Chef Burger Bistro   ,Risk 1 (High)
 SHAKE SHACK   ,Risk 2 (Medium)
  GLENCREST NURSING & REHAB CTR  ,Risk 1 (High)
 Kelvyn Park  (H/S)   ,Risk 1 (High)
 SCHNEIDER  SENIOR  APARTMENT   ,Risk 1 (High)
   CHARTWELLS THOMPSON HOSPITALITY  ,Risk 1 (High)
   Wildwood  ,Risk 1 (High)
 SOUTH SHORE FINE ARTS ACADEMY   ,Risk 1 (High)
   BEACON THERAPEUTIC DIAGNOSTIC AND TREATMENT CENTER ,Risk 2 (Medium)
  SUBWAY  ,Risk 1 (High)
  CAPONIES TRATTORIA  ,Risk 2 (Medium)
   KUNG FU TEA ,Risk 2 (Medium)
 AFC SUSHI @ WALGREENS #15196 ,Risk 1 (High)
   SCAFURI BAKERY  ,Risk 1 (High)
   GEMINI BISTRO ,Risk 1 (High)
  PAYLESS WINE & SPIRITS   ,Risk 3 (Low)
 ROCHA TRAVEL/SANTI'S ICE CREAM ,Risk 3 (Low)
  SUBWAY  ,Risk 1 (High)
 PAYLESS WINE & SPIRITS  ,Risk 3 (Low)
 SANTIS ICE CREAM   ,Risk 2 (Medium)
 NICKS LIQUORS   ,Risk 3 (Low)
   SUBWAY RESTAURANT ,Risk 1 (High)
  EL MAYA   ,Risk 1 (High)
  7 ELEVEN #33067H  ,Risk 2 (Medium)
   WALGREENS #15196  ,Risk 2 (Medium)
  PANADERIA Y TAQUERIA COTZIO   ,Risk 1 (High)
 MOY LEE RESTAURANT ,Risk 1 (High)
 SHORT STUFF CHICAGO  ,Risk 1 (High)
 RITE PRICE FOOD MART ,Risk 2 (Medium)
" TURBO TACOS, INC.  ",Risk 1 (High)
   EATALY   ,Risk 1 (High)
  IGUALA GROCERY ,Risk 2 (Medium)
 JUST TURKEY RESTAURANT   ,Risk 1 (High)
  MAGNOLIA BAKERY ,Risk 1 (High)
   DAVID BURKE'S PRIMEHOUSE   ,Risk 1 (High)
 HYDE PARK BP AM PM ,Risk 2 (Medium)
 ATOLITO CATERING INC ,Risk 1 (High)
 BIRCHWOOD PLAZA INC  ,Risk 1 (High)
 NATYS PIZZA 26 ,Risk 1 (High)
   RAYS E MART   ,Risk 2 (Medium)
"   90 MILES CUBAN CAFE, INC.   ",Risk 1 (High)
   JESSICA'S BAKERY NO 2 INC ,Risk 2 (Medium)
  RESTAURANT 2 AMIGOS ,Risk 1 (High)
   GRAND TRIPLE CROWN  ,Risk 1 (High)
  1 STOP & SHOP INC.   ,Risk 2 (Medium)
  ZIGZAG CAFE ,Risk 1 (High)
 CACTUS BAR & GRILL   ,Risk 1 (High)
  DINER GRILL  ,Risk 1 (High)
   MIRLAN & SANAT  ,Risk 1 (High)
  ARTISAN BREAD SHOPPE CO. ,Risk 2 (Medium)
   RUK SUSHI & THAI ,Risk 1 (High)
   THE NEW LOOK   ,Risk 1 (High)
   CHUCK 'E' CHEESE  ,Risk 1 (High)
   Evers   ,Risk 1 (High)
   HALES FRANCISCAN HIGH SCHOOL  ,Risk 1 (High)
 MCDONALD'S ,Risk 2 (Medium)
 HOTEL BURNHAM / ATWOOD CAFE ,Risk 1 (High)
   EL VENENO DE LA VILLITA ,Risk 1 (High)
   HOLDEN ELEMENTARY SCHOOL (MAIN)   ,Risk 1 (High)
 CONTE'S PIZZA   ,Risk 1 (High)
  PHO LOAN RESTAURANT ,Risk 1 (High)
  D' CANDELA   ,Risk 1 (High)
   RESTAURANT  EL ASADOR II  ,Risk 1 (High)
  BRITISH SCHOOL OF CHICAGO  ,Risk 2 (Medium)
   ATHENA RESTAURANT  ,Risk 1 (High)
   DUCHOSSIS CENTER ADV. MED FOOD COURT ,Risk 1 (High)
 MAKKI GRILL  ,Risk 1 (High)
 ARAMARK FOOD COURT ,Risk 1 (High)
   SAINT WALTER SCHOOL  ,Risk 1 (High)
  OUR LADY OF GUADALUPE   ,Risk 2 (Medium)
 BILLINGS CAFE ,Risk 1 (High)
   ROSARIO'S ITALIAN FOOD INC  ,Risk 1 (High)
   FUH   ,Risk 1 (High)
   ARMOUR BRANCH ,Risk 1 (High)
   BALE SANDWICH AND BAKERY ,Risk 1 (High)
 TREASURE ISLAND FOODS INC ,Risk 1 (High)
   ST. LEONARD'S MINISTRIES MICHAEL BARLOW ,Risk 1 (High)
   SALGADO'S BAKERY  ,Risk 2 (Medium)
 Pepe's Mexican Restaurant  ,Risk 1 (High)
 BEEZEE  ,Risk 1 (High)
   MCDONALD'S ,Risk 2 (Medium)
  TACO BURRITO KING  ,Risk 1 (High)
 MORGAN PARK ACADEMY ,Risk 1 (High)
  LUNA'S BAKERY   ,Risk 2 (Medium)
 TAOUERIA EL RANCHITO #TWO INC ,Risk 1 (High)
  ST GENEVIEVE SCHOOL  ,Risk 1 (High)
 BLACKWOOD BBQ ,Risk 1 (High)
 ST. CONSTANCE ELEMENTARY SCHOOL ,Risk 1 (High)
  ARMOUR ELEMENTARY SCHOOL   ,Risk 1 (High)
  WHITE CASTLE #23   ,Risk 2 (Medium)
 ANNUNCIATA SCHOOL   ,Risk 2 (Medium)
 7-Eleven   ,Risk 2 (Medium)
" MICHOACANA BAKERY, INC  ",Risk 2 (Medium)
   Piccolo Specialty School   ,Risk 1 (High)
 Yogen Fruz ,Risk 2 (Medium)
   FAMILY DOLLAR #6514   ,Risk 3 (Low)
 LAVAZZA CAFE   ,Risk 1 (High)
   CHURCH'S CHICKEN # 483 ,Risk 2 (Medium)
 DIVISION GROCERY INC. ,Risk 3 (Low)
  Au Bon Pain   ,Risk 2 (Medium)
 THE NEW POLK & WESTERN  ,Risk 1 (High)
  DIVISION GROCERY PLUS INC  ,Risk 2 (Medium)
 PICCOLO SOGNO   ,Risk 1 (High)
  J & C FINER FOOD INC ,Risk 1 (High)
" BEIJING 88, INC ",Risk 1 (High)
"   A & N FOOD & DOLLAR PLUS,  ",Risk 3 (Low)
   QDOBA MEXICAN GRILL   ,Risk 1 (High)
   AU BON PAIN ,Risk 1 (High)
  CHICAGO WALDORF SCHOOL   ,Risk 3 (Low)
 ROLANDO TACO'S   ,Risk 1 (High)
   CHICAGO DINER LOGAN SQUARE   ,Risk 1 (High)
  ST. GEORGE GREEK ORTHODOX CHURCH ,Risk 1 (High)
   HALSTED STREET DELI   ,Risk 1 (High)
 STARBUCKS COFFEE   ,Risk 2 (Medium)
   Chopin   ,Risk 1 (High)
  SUBWAY ,Risk 1 (High)
   DOLLAR TREE STORES # 798  ,Risk 3 (Low)
   LEVY(EVENTS)LIMITED PARTNERSHIP   ,Risk 1 (High)
  LUPITAS MEXICAN AMERICAN FOOD  ,Risk 1 (High)
 SUBWAY ,Risk 1 (High)
  WHITEY'S STEAK & SEA FOOD INC.  ,Risk 1 (High)
" BIG RAYS GRILL, INC.   ",Risk 1 (High)
   NEVERIA LA TROPICANA CORPORATION ,Risk 1 (High)
  BIG & LITTLE'S RESTAURANT  ,Risk 1 (High)
 KFC ,Risk 2 (Medium)
  TAMALES GARIBAY   ,Risk 1 (High)
   JACOB BEIDLER ELEMENTARY SCHOOL  ,Risk 1 (High)
 CROSSROADS PUBLIC HOUSE   ,Risk 1 (High)
 SUBWAY ,Risk 1 (High)
 CHICAGO WINGZ AROUND THE WORLD111 LLC  ,Risk 2 (Medium)
  PRET A MANGER ,Risk 1 (High)
  ARUN'S THAI RESTAURANT   ,Risk 1 (High)
  HERMOSA  ,Risk 1 (High)
 JIMMY JOHNS   ,Risk 1 (High)
  LAPAZ RESTAURANT  ,Risk 1 (High)
  WOW BAO   ,Risk 3 (Low)
   RIVER ROAST  ,Risk 1 (High)
  SIMPSON ACADEMY   ,Risk 1 (High)
  POTBELLY SANDWICH WORKS  ,Risk 1 (High)
   PAPA PHILLY AND FOOD ,Risk 1 (High)
   DUNKIN DONUTS/BASKIN ROBBINS   ,Risk 2 (Medium)
  AVY'S PIZZA   ,Risk 1 (High)
   EPIPHANY RESTAURANT ,Risk 1 (High)
  ROYAL THAI CUISINE ,Risk 1 (High)
"  TAQUERIA Y BIRRIERIA MORELIA, INC.   ",Risk 1 (High)
  CAPONIES TRATTORIA  ,Risk 1 (High)
  BARTOLOME DE LAS CASAS CHARTER SCHOOL  ,Risk 2 (Medium)
   MAGIC GRILL INC.   ,Risk 1 (High)
" TC FOOD MARKET, INC. ",Risk 2 (Medium)
 NOOR FOOD MART INC.   ,Risk 3 (Low)
   WALGREENS #15350   ,Risk 3 (Low)
  ARAMARK FOOD COURT   ,Risk 1 (High)
 OLD CROW ,Risk 1 (High)
   JOE'S GRILL ,Risk 1 (High)
   CHICAGO WHITE SOX LTD ,Risk 1 (High)
  COVENANT HOME OF CHICAGO  ,Risk 1 (High)
   NYC BAGEL DELI - DEARBORN   ,Risk 1 (High)
 Sutherland   ,Risk 2 (Medium)
   ST. SYMPHOROSA   ,Risk 1 (High)
   DICK'S LAST RESORT ,Risk 1 (High)
   SMILE FOOD MARKET ,Risk 1 (High)
   DHARMA GARDEN RESTAURANT  ,Risk 1 (High)
  NEW LINE /WAFEL ,Risk 1 (High)
  URBAN PREP CHARTER WEST CAMPUS   ,Risk 2 (Medium)
  TOTS LAND   ,Risk 1 (High)
   IMMACULATE CONCEPTION ,Risk 2 (Medium)
  JOE'S BREAKFAST & GRILL ,Risk 1 (High)
 TACO JOINT  ,Risk 1 (High)
 CITY FRESH MARKET  ,Risk 1 (High)
  Clissold  ,Risk 2 (Medium)
   HQ BEERCADE II   ,Risk 1 (High)
  COOK AU VIN ,Risk 1 (High)
   La PALOMA GROCERY STORE   ,Risk 2 (Medium)
 CHICAGO TECH ACADEMY (CHARTER)  ,Risk 1 (High)
   SUBWAY SANDWICHES ,Risk 1 (High)
  DUNKIN DONUTS ,Risk 2 (Medium)
 PEET'S COFFEE & TEA ,Risk 2 (Medium)
  SEE THRU CHINESE RESTAURANT   ,Risk 1 (High)
   HILLTOP ,Risk 1 (High)
 POCKETS  ,Risk 1 (High)
   SAN JUDITAS BAKERY ,Risk 2 (Medium)
   AU BON PAIN ,Risk 1 (High)
 PROVENANCE FOOD & WINE   ,Risk 3 (Low)
 THE GENERAL ,Risk 1 (High)
   MOY LEE RESTAURANT   ,Risk 1 (High)
 THE GENERAL  ,Risk 1 (High)
  EL JEREZANO RESTAURANT  ,Risk 1 (High)
 SUBWAY   ,Risk 1 (High)
 THE GENERAL   ,Risk 1 (High)
  LUKE'S LOBSTER ,Risk 1 (High)
  Wendy's Old Fashioned Hamburgers of New York Inc.   ,Risk 1 (High)
 MEXIQUE   ,Risk 1 (High)
   KINGS  GYROS #2 ,Risk 1 (High)
   DYLAN'S CANDY BAR   ,Risk 2 (Medium)
  ST ANGELA SCHOOL  ,Risk 1 (High)
"  LARAMIE FOOD GROUP, INC. ",Risk 3 (Low)
 MARIANO'S FRESH MARKET #8503   ,Risk 1 (High)
 BQ AFROROOT CUISINE   ,Risk 1 (High)
"   TEA FOOD GROUP,  INC.  ",Risk 2 (Medium)
 DYLAN'S CANDY BAR  ,Risk 2 (Medium)
 ALFRED NOBEL ELEMENTARY   ,Risk 1 (High)
   WHITTIER ELEMENTARY  ,Risk 1 (High)
  Dollar Tree #4143 ,Risk 3 (Low)
  Young Elementary ,Risk 1 (High)
 READ IT AND EAT IT ,Risk 3 (Low)
 ROCK BOTTOM RESTAURANT & BREWERY - RB GRILLE  ,Risk 1 (High)
   HONG KONG EXPRESS  ,Risk 1 (High)
 LOU MALNATI'S PIZZERIA ,Risk 1 (High)
   SUBLIME SUSHI ,Risk 1 (High)
   HAMPTON INN CHICAGO DOWNTOWN ,Risk 2 (Medium)
  BAD DOG TAVERN AND GRILL  ,Risk 1 (High)
 HAMBURGER MARY'S CHICAGO/MARY'S REC ROOM ,Risk 1 (High)
   HAMPTON INN CHICAGO DOWNTOWN   ,Risk 2 (Medium)
  PAPA T'S ITALIANO   ,Risk 1 (High)
" ILLINOIS SPORTSERVICE, INC. ",Risk 2 (Medium)
  BISTRO DRE LLC  ,Risk 1 (High)
 HOUNDSTOOTH SALOON  ,Risk 1 (High)
  BURGER BULL  ,Risk 2 (Medium)
 FORZA   ,Risk 1 (High)
 TOYS BEEF& RICE CHINDA LTD  ,Risk 1 (High)
   MILO'S GYROS AND CHICKEN ,Risk 1 (High)
  Saigon Grill  ,Risk 1 (High)
   RESTAURANTE Y TAQUERIA GUERRERO ,Risk 1 (High)
 LATIN PATIO   ,Risk 1 (High)
  BASEBALL BUFFET INC   ,Risk 1 (High)
 JACK'S FISH  CHICKEN & MORE ,Risk 1 (High)
   ERNST PRUSSING ELEMENTARY SCHOOL ,Risk 1 (High)
   LEVY'S RESTAURANTS AT GAURANTEED RATE FIELD   ,Risk 1 (High)
 FAMILY DOLLAR #1708  ,Risk 3 (Low)
   HERMOSA ,Risk 1 (High)
  EMMIT'S ON CLYBOURN  ,Risk 1 (High)
  READ IT AND EAT IT   ,Risk 2 (Medium)
   STARFRUIT CAFE ,Risk 2 (Medium)
 ST. BENEDICT ELEMENTARY SCHOOL   ,Risk 1 (High)
  LEVY RESTAURANTS AT GAURANTEED RATE FIELD  ,Risk 2 (Medium)
  LEVY RESTAURANTS AT GAURANTEED RATE FIELD ,Risk 1 (High)
   Emerald Isle  ,Risk 1 (High)
  SUBWAY ,Risk 1 (High)
  Lovett   ,Risk 1 (High)
  BALE SANDWICH AND BAKERY  ,Risk 1 (High)
  CHISOX BAR & GRILL   ,Risk 1 (High)
 HELEN BOROWICZ   ,Risk 1 (High)
   LEVY RESTAURANTS AT GUARANTEED RATE FIELD ,Risk 1 (High)
   JUNGMAN ELEMENTARY   ,Risk 1 (High)
  BOW TRUSS COFFEE   ,Risk 2 (Medium)
   ST. BENEDICT HIGH SCHOOL   ,Risk 1 (High)
 ST JULIANA CATHOLIC SCHOOL ,Risk 1 (High)
  JANE ADDAMS ELEMENTARY ,Risk 2 (Medium)
   GRANADO'S SUPERMERCADO  ,Risk 1 (High)
   PEKING MANDARIN RESTAURANT  ,Risk 1 (High)
 ST HILARY ELEMENTARY SCHOOL  ,Risk 1 (High)
  KANELA CAFE ,Risk 1 (High)
   TACOS DE CANASTA Y ANTOJITOS ORALE INC ,Risk 1 (High)
  ST. PASCAL ,Risk 1 (High)
  Chicago Academy for the Arts   ,Risk 3 (Low)
  BAKER & NOSH BAKERY  ,Risk 1 (High)
   FINKI ELEMENTARY ACADEMY  ,Risk 1 (High)
 Esmond  ,Risk 1 (High)
  MAXS DRIVE INN  ,Risk 1 (High)
 63RD QUICK STOP  ,Risk 1 (High)
   LA BAGUETTE BAKERY ,Risk 1 (High)
  CLUB GENE & GEORGETTI ,Risk 1 (High)
   TAYLOR ELEMENTARY SCHOOL   ,Risk 2 (Medium)
  CHINA HO RESTAURANT   ,Risk 1 (High)
   ST. DANIEL THE PROPHET   ,Risk 1 (High)
  LANE TECH HIGH SCHOOL ,Risk 1 (High)
 ST.BRUNO   ,Risk 1 (High)
  GATEWAY NEWSTAND  ,Risk 3 (Low)
   HAPPY FOODS ,Risk 1 (High)
 GATEWAY NEWSTAND   ,Risk 3 (Low)
   HUDDLE HOUSE  ,Risk 1 (High)
 LES NOMADES LIMITED PRTNERSHP   ,Risk 1 (High)
  MARGIE'S CANDIES ,Risk 1 (High)
   LA CAZUELA RESTAURANT   ,Risk 1 (High)
   BIG DELICIOUS PLANET ,Risk 1 (High)
